Date,Open,High,Close,Low,Trades,Change,Company
9/18/2025,103.65,106.11,102.09,102.33,100281714,-1.505065123,WMT
9/11/2025,100.85,103.975,100.28,103.49,70982985,-0.5651958354,WMT
9/4/2025,97.23,101.48,96.51,100.51,63467439,-0.7405121876,WMT
8/28/2025,97,97.58,95.42,96.98,88994055,-1.628865979,WMT
8/21/2025,100,102.65,96.76,96.83,131830392,-3.24,WMT
8/14/2025,103.9,104.33,99.5402,100,74637923,-4.196150144,WMT
8/7/2025,98.2,104.72,98.2,103.73,85669835,0,WMT
7/31/2025,97.28,98.88,97.075,98.49,72593176,-0.2107319079,WMT
7/24/2025,95.255,97.65,95.1,97.47,60089144,-0.162721117,WMT
7/17/2025,94.51,95.84,94.38,95.05,61212815,-0.1375515818,WMT
7/10/2025,98.23,99.35,94.23,94.4,76998316,-4.072075741,WMT
7/2/2025,97.23,99.1899,96.31,98.36,53627046,-0.9462100175,WMT
6/26/2025,95.92,99.105,95.67,97.27,104784011,-0.2606338616,WMT
6/19/2025,94.75,96.31,93.62,96.12,61755901,-1.192612137,WMT
6/12/2025,97.4,98.0892,93.43,94.44,83748231,-4.075975359,WMT
6/5/2025,98.84,100.89,96.97,97.47,75138067,-1.89194658,WMT
5/29/2025,97.3,98.93,96.58,98.72,72724842,-0.739979445,WMT
5/22/2025,96.65,98.8183,95,96.34,78774303,-1.707190895,WMT
5/15/2025,97.67,99.1946,91.89,98.24,149923005,-5.917886762,WMT
10/30/2025,222.78,225.56,198.3,201.02,64165153,-10.98841907,BA
10/23/2025,215.13,221.74,213.8,221.35,26979289,-0.6182308372,BA
10/16/2025,212.09,217.945,210.66,212.94,28726556,-0.674242067,BA
10/9/2025,217.865,226.19,210.73,210.73,45088287,-3.274963854,BA
10/2/2025,222.365,222.81,212.83,216.3,42673006,-4.287994963,BA
9/25/2025,215.17,224.1,211.427,221.26,51514442,-1.739554771,BA
9/18/2025,216.25,218.05,213.13,215.65,36174047,-1.442774566,BA
9/11/2025,231.7,232.28,215.7,215.94,39520570,-6.905481226,BA
9/4/2025,231.28,238.33,225.5,229.61,24558754,-2.499135247,BA
8/28/2025,229.6,238.05,226.6,234.68,25943365,-1.306620209,BA
8/21/2025,234.47,235.157,223.6001,230.12,37312617,-4.635944897,BA
8/14/2025,229,236.45,225.17,235.26,30557452,-1.672489083,BA
8/7/2025,220.15,230.9,218.03,229.12,24870791,-0.9629797865,BA
7/31/2025,233.24,242.6899,215.9,221.9,53839142,-7.434402332,BA
7/24/2025,229.4,235.27,225.55,233.06,27012519,-1.678291194,BA
7/17/2025,231.4,233.61,227.27,229.34,39248482,-1.784788245,BA
7/10/2025,215.6,230.1999,214.5,226.84,41787833,-0.5102040816,BA
